          19       2  1025.72D0  0.882D0  1.00000D10
       4     300      2.09028      3.30000      14.9000     -56.0000
      101.400      59.4000      226.090       1      53.0010      148.503
      15.3377      9.29640      6.28767      0.00000      0.00000
       5     600      2.19056     0.200000      14.8000     -54.9000
      102.300      55.1000      246.105       1      53.0010      148.503
      15.3426      9.76895      6.62770      0.00000      0.00000
      11     600      4.11028     -40.3000      23.3000     -29.5000
      116.400      10.9000      717.272       2      53.0010      148.503
      15.4324      8.33600      6.55598      0.00000      0.00000
      12     600      4.29333     -41.9000      24.6000     -26.7000
      117.400      15.2000      757.269       2      53.0010      148.503
      15.4402      8.21140      6.54472      0.00000      0.00000
      14     600      4.53028      38.7000      22.1000     -23.0000
      118.400      61.8000      903.692       2      51.8686      95.7002
     -7.12337      8.02651      6.18479      0.00000      0.00000
      15     600      4.72028      36.5000      20.8000     -20.0000
      119.200      56.5000      942.409       2      51.8686      95.7002
     -7.11405      7.74357      6.33725      0.00000      0.00000
      17     600      5.02056     -45.6000      30.1000     -15.2000
      120.200      30.4000      882.861       3      53.0010      148.503
      15.4686      8.16538      6.67039      0.00000      0.00000
      19     600      5.22000     -46.1000      31.7000     -11.9000
      120.700      34.2000      906.169       3      53.0010      148.503
      15.4757      8.12983      6.38905      0.00000      0.00000
      21     600      5.44528      23.6000      16.8000     -8.10000
      121.100      31.7000      1042.14       2      51.8686      95.7002
     -7.07703      7.71058      6.59897      0.00000      0.00000
      22     600      5.62722      19.1000      16.1000     -5.00000
      121.400      24.2000      1053.92       2      51.8686      95.7002
     -7.06747      7.49293      6.61139      0.00000      0.00000
      23     600      5.80389      14.4000      15.5000     -2.00000
      121.500      16.4000      1059.97       2      51.8686      95.7002
     -7.05812      7.33746      6.70556      0.00000      0.00000
      25     600      5.99583      8.80000      15.1000      1.20000
      121.500      7.60000      1060.45       2      51.8686      95.7002
     -7.04790      7.48881      6.52529      0.00000      0.00000
      27     600      6.26750     0.400000      14.8000      5.80000
      121.300      5.40000      1050.32       1      51.8686      95.7002
     -7.03339      7.63862      6.67568      0.00000      0.00000
      29     600      6.46250     -5.60000      14.9000      9.10000
      121.000      14.7000      1035.34       1      51.8686      95.7002
     -7.02297      7.63053      6.44177      0.00000      0.00000
      34     600      7.59417     -171.400      33.3000      27.3000
      117.100      161.300      1382.68       3      42.4818      21.1247
     -22.2046      7.52635      6.54058      0.00000      0.00000
      35     600      7.77083     -166.800      33.7000      29.9000
      116.200      163.300      1284.56       3      42.4818      21.1247
     -22.1860      7.65262      6.30026      0.00000      0.00000
      37     600      8.06833     -159.100      34.7000      34.3000
      114.500      166.600      1116.07       3      42.4818      21.1247
     -22.1549      8.46379      6.73180      0.00000      0.00000
      39     600      8.27472     -154.000      35.6000      37.2000
      113.100      168.800      999.046       3      42.4818      21.1247
     -22.1335      8.93512      6.74920      0.00000      0.00000
      40     600      8.46083     -149.600      36.5000      39.8000
      111.900      170.600      895.036       3      42.4818      21.1247
     -22.1145      9.39638      6.57815      0.00000      0.00000
