           8       2  1025.72D0  0.882D0  1.00000D10
       6     600      2.49444      64.5000      44.5000     -55.1000
      108.000      119.600      520.428       3     -13.5295      103.063
     -22.3868      10.1417      6.00287      0.00000      0.00000
       7     600      2.67139      65.5000      42.8000     -52.9000
      109.600      118.400      594.851       3     -13.5295      103.063
     -22.3795      9.75596      6.13932      0.00000      0.00000
      10     600      2.88472      66.6000      40.6000     -50.2000
      111.400      116.800      688.534       3     -13.5295      103.063
     -22.3702      9.23635      6.16325      0.00000      0.00000
      11     600      3.05944      67.5000      38.9000     -47.9000
      112.900      115.400      767.366       3     -13.5295      103.063
     -22.3621      8.56764      6.20430      0.00000      0.00000
      14     600      3.26778      68.5000      36.7000     -45.1000
      114.500      113.600      862.441       3     -13.5295      103.063
     -22.3519      8.17538      6.24846      0.00000      0.00000
      15     600      3.44361      69.4000      34.9000     -42.6000
      115.900      112.000      942.503       3     -13.5295      103.063
     -22.3428      7.78766      6.33995      0.00000      0.00000
      16     600      3.61944      70.2000      33.1000     -40.1000
      117.100      110.300      1021.42       3     -13.5295      103.063
     -22.3333      7.37799      6.03491      0.00000      0.00000
      19     600      3.82833      71.1000      31.0000     -37.0000
      118.600      108.200      1112.50       3     -13.5295      103.063
     -22.3216      7.01473      5.84355      0.00000      0.00000
